0.003717	0.001748
0.00352	0.001522
0.003318	0.001297
0.003112	0.001095
0.002881	0.000912
0.002661	0.000749
0.002435	0.000591
0.002209	0.000427
0.001993	0.000255
0.001782	0.000029
0.001556	-0.000182
0.00134	-0.000399
0.001119	-0.000615
0.000903	-0.000816
0.000687	-0.001023
0.000466	-0.001234
0.000264	-0.001426
0.000019	-0.001638
-0.000221	-0.001835
-0.000466	-0.002031
-0.00073	-0.002233
-0.000941	-0.00243
-0.001148	-0.002632
-0.001383	-0.002824
-0.00159	-0.00303
-0.001762	-0.003256
-0.001959	-0.003477
-0.002137	-0.003703
-0.002296	-0.003943
-0.002483	-0.004154
-0.002675	-0.004365
-0.002848	-0.004596
-0.003064	-0.004783
-0.003266	-0.00499
-0.003491	-0.005177
-0.00377	-0.005321
-0.004063	-0.005446
-0.004433	-0.005499
-0.004654	-0.005681
-0.00475	-0.005945
-0.004985	-0.006099
-0.005239	-0.006234
-0.00547	-0.006378
-0.005609	-0.006608
-0.005734	-0.006848
-0.005864	-0.00706
-0.005965	-0.00729
-0.006094	-0.007501
-0.006229	-0.007718
-0.006368	-0.007924
-0.006493	-0.008121
-0.006642	-0.008303
-0.006824	-0.008462
-0.006944	-0.008649
-0.00706	-0.008836
-0.007112	-0.009086
-0.007146	-0.009326
-0.007098	-0.009638
-0.007074	-0.009883
-0.007108	-0.010157
-0.007396	-0.010143
-0.007727	-0.010176
-0.007929	-0.010537
-0.008063	-0.010666
-0.008078	-0.010878
-0.008169	-0.011046
-0.008323	-0.011161
-0.008476	-0.011257
-0.008668	-0.011319
-0.008952	-0.01131
-0.009177	-0.011329
-0.009225	-0.011492
-0.009331	-0.011603
